index,MAE,MAPE,R2
LightGBM,1582720.9001534397,0.14883500639386343,0.9388692865793484
XGBoostRegressor_Linear,1567666.45,0.14962295293807984,0.9388002276420593
XGBoostRegressor,1618682.4,0.15109647810459137,0.9305111289024353
LightGBM_encoded,1672881.1114284308,0.15645883093601948,0.9285547657199998
CatBoost,1666955.625329145,0.15773050560522647,0.931658193040899
CatBoost_encoded,1682693.6241816748,0.16109639963895753,0.9311331089357291
RandomForest,1855166.8566949852,0.17769076709530304,0.9044489566087629
DecisionTree,2266793.30059607,0.20895579743087733,0.8423962045399808
LinearRegression,2526369.1707859607,0.2810882666207636,0.8734083191221996
ElasticNet,2646650.8045082553,0.2873394556456167,0.8535711836954862
XGBoostRFRegressor,6262293.0,0.879089641571045,0.31807899475097656
